Timestamp	Role(s) with the kubernetes project.	I have been involved with Kubernetes for	Activities within the Kubernetes Community	I have a clear understanding of where the Kubernetes project is going.	Over the last year, my enthusiasm for the Kubernetes project has increased	Different opinions are valued and listened to in the community	If I could change one thing about the project direction it would be:	I feel welcomed in the Kubernetes community	My contributions are valued by the Kubernetes community	My biggest challenge getting involved in the community is:	I understand how project decisions are made	I understand how I can/should participate in the Kubernetes community	What community process needs the most work?	I am able to be a productive Kubernetes developer	What change to the Kubernetes development process would significantly improve your productivity?	I am able to successfully manage applications using Kubernetes	What change to Kubernetes application management would significantly improve your productivity?	I use a managed Kubernetes solution (Google Container Engine, Azure Container Service, CoreOS Tectonic, etc)	I am able to effectively manage my Kubernetes cluster	What change to Kubernetes cluster operations would most significantly improve your ability to manage a cluster?		Anything else you'd like to tell us?
2/13/2017 22:58:58																						
2/14/2017 0:55:24	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)																			
2/14/2017 8:25:33																						
2/14/2017 10:26:30	I am a Kubernetes SRE/Operator, I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter	2 - 3 years	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	4	4	7	Less 1/2 baked features and more feature maturity mindful graduation.	7	7	Getting some PRs approved in a timely manner.  Some have languished for months.	2	5	Project processes, and they also need to have some metrics of success.	6	Timely feedback, less rebases, less flakes.	5	Alerting, and user friendly errors. 	No	5	Greater introspection on behavior, and meaningful metrics. 		
2/16/2017 9:22:33	I am a Kubernetes SRE/Operator, I am a Kubernetes developer relations or evangelism	1 - 2 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	5	7	4		7	5		4	4		4		6		Yes	6			
2/16/2017 10:48:32	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	4	4	Better streaming of information	5	4	Learning the structure and procedures of the dev group itself.	4	5	Easily understood Transparency.	6	better golang API for external apps	6		Yes	6			
2/16/2017 13:47:11	I am a Kubernetes user, I am a Kubernetes developer, I am a Kubernetes product manager	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	7	5	6		7	7		7	7		5		7		Yes	7			
2/16/2017 13:50:09	I am a Kubernetes developer	< 1 year	I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	2	3	7	serve the users	4	2	getting anyone to care about your change.	1	2	more committers, more up to date documentation	2	office hours with experts.	4	I do not manage applications.	No				
2/16/2017 13:50:25	I am a Kubernetes user, I am a Kubernetes developer	2 - 3 years	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have participated in external Kubernetes community events (KubeCon, Meetups, etc)	6	7	5	More development in European timezone	5	5	Timezones, many discussions happen at late hours for Europeans	6	7		7		6		Yes	7			
2/16/2017 13:51:34	I am a Kubernetes developer, I am a Kubernetes community supporter, I am a Kubernetes developer relations or evangelism	< 1 year	I have asked a question on Slack/Stack Overflow/etc, I have answered a question on Slack/Stack Overflow/etc, I have filed or commented on an issue, I have reviewed a pull request (PR), I have submitted a pull request (PR), I have held a Kubernetes community role (release owner, note taker, etc)	5	5	5		5	5		4	4		5		5		No	4			
